受注No,製品名,品目,厚み,幅,仕上がり幅,ピッチ,入り数,ケースNo,クラフト,外装,ショット数,メインVR,606,612,613,温度,備考,,,,
PRD73,山形屋雨天用(中),LD,0.03,460,320,440,1000,アーム７,,専用,68,530,27,1500,350,220,,,,,
PGGB1,６２２００４試供品袋D,LD,0.04,170,,265,4000,64,,２００×３５０,71,555,20,1800,280,246,,,,,
PAJP7,LDPEチューブカット品,LD,0.03,90,,170,10000,アーム２７,,１１０×２７０,101,785,22,1800,180,0,,,,,
TWM36,BD＃２０No３　４穴,LD,0.023,135,,510,1000,,クラフト１,１５０×６００,38,293,25,1600,350,200,,,,,
UKW28,BD＃２０No１１．５－４５　４穴,LD,0.023,135,,510,1000,,クラフト１,１５０×６００,38,293,25,1400,420,200,,,,,
UIV９９,BD＃２５No１０－５０　４穴プラ,LD,0.023,120,,560,1000,,クラフト１,１４０×６５０,33,254,25,1100,500,200,,,,,
VGKM2,広島信用金庫８０周年,LD,0.06,270,,400,1000,13,,２９０×５００,45,354,25,1400,400,243,,,,,
TFN86,LD袋,LD,0.02,190,,340,5000,51,クラフト１,２１０×４２０,60,450,25,1400,400,210,"１０００枚クラフト包装No1縦に積む,ケース切り込みしない",,,,
TQQ14,ナイロンポリVSタイプ３４－４８,LD,0.03,370,,550,1000,,クラフト６,３８０帯,60,450,25,1600,370,222,,,,,
TL271,ナイロンポリTLタイプ３０－４０,LD,0.03,330,,470,1000,,クラフト５,３４０帯,60,450,25,1600,370,222,,,,,
UTY44,バリア静防OPYZタイプNO8,LD,0.03,470,,265,1000,,クラフト３,２８０×５５０,60,450,25,1600,370,222,,,,,
PCUT6,HURーK(A)個包装,LD,0.06,180,,340,1000,70,,２２０×４５０,66,510,25,1800,300,245,,,,,
PDVN2,LLD袋,LD,0.03,130,,200,10000,64,,１５０×２８０,81,630,25,1800,220,237,,,,,
QN591,タムラのタマゴ,LD,0.03,170,90,250,8000,43,,１１０×３２０,73,550,20,1600,280,249,５０枚外装入れ,,,,
VGBW3,新潟たけうち,LD,0.03,180,,300,1500,アーム２７,,２００×３５０,62,470,20,1600,280,249,５０枚外装入れ,,,,
UR411,神戸牛フクロン(小),HD,0.03,220,,220,3000,13,,２４０×３００,99,754,20,1600,280,268,１０００枚クラフト包装No2　２列で,,,,
SDE43,フレッシュマット４００×６００,LD,0.023,510,410,750,1000,アーム５,,４２０×５５０,29,224,18,1100,650,219,コシ強く,,,,
UJ405,ご来場ありがとうございました,HD,0.03,400,,290,1000,アーム７,,３２０×５００,76,580,20,1700,250,246,,,,,
PWG45,ナイロンポリたくあん用(LL),LD,0.03,150,,530,1000,,クラフト２,１６０帯,40,310,20,1300,530,215,,,,,
PALD2,BD＃２０No13-60,LD,0.023,140,,660,1000,,クラフト１,１７０×７００,30,230,20,1600,500,194,,,,,
PRD72,山形屋雨天用(大),LD,0.018,460,320,560,1000,46,,専用,50,380,20,1400,350,239,,,,,
PEUG5,水野産業向けNoE,LD,0.023,360,,360,1000,,クラフト５,３８０×４５０,56,430,20,1600,280,220,縦ミシン目,,,,
TQQ12,ナイロンポリVSタイプ３０－４３,LD,0.03,330,,500,1000,,クラフト５,３４０帯,51,390,20,1400,480,227,,,,,
SZ577,ナイロンポリVタイプNo22,LD,0.03,370,,550,1000,,クラフト６,４００×６５０,45,350,20,1250,500,222,,,,,
TQQ10,ナイロンポリVSタイプ２８－３８,LD,0.03,310,,450,1000,,クラフト５,３２０帯,59,450,25,1400,400,225,,,,,
PDGH0,ニューポリブルー０３－１６,LD,0.023,360,,540,1000,アーム２７,,３００×４５０,40,310,16,1000,500,198,,,,,
UTY45,バリア静防OPYZタイプNO９,LD,0.03,500,,285,1000,,クラフト５,３００×６００,65,500,20,1700,250,229,,,,,
QXW14,書初用紙,LD,0.02,280,,610,2000,2,,３２０×４００,45,350,22,1200,600,194,,,,,
UTY33,ナイロンポリZタイプNo6,LD,0.03,430,,265,1000,,クラフト３,２８０×５２０,53,400,20,1700,250,234,,,,,
UKW26,BD２５No３０－４５,LD,0.023,320,,510,1000,,クラフト５,３４０×６００,33,250,16,1000,500,193,,,,,
PGGB1,６２２００４試供品袋D,LD,0.04,170,,265,4000,64,,２００×３５０,76,570,20,1800,280,250,,,,,
VDJX5,６２２００６試供品袋F,LD,0.04,240,,260,3000,60,,２６０×３６０,76,570,20,1800,280,250,,,,,
TLL55,ショウバッグEF(中),LD,0.023,390,,230,1000,,クラフト２,２５０×５００,70,540,20,1700,250,218,,,,,
PDGB7,ニューポリプラ０３－１２,LD,0.023,250,,400,1000,,クラフト２,２７０×５００,52,400,25,1200,300,203,,,,,
TA911,白ネギ糸島BM製法,LD,0.025,150,,550,5000,86,,１７０×６５０,46,360,25,1100,480,204,,,,,
UZT27,ミスタードーナツ向けPE袋,LD,0.028,235,,620,2000,29,,２８０×４００,51,370,23,1100,550,222,,,,,
TLL41,ニューポリ０２５－２０,LD,0.023,480,,670,1000,29,,５００×８００,31,240,25,980,650,189,,,,,
TUK39,ナイロンポリTLタイプ３０－４３,LD,0.03,330,,500,1000,,クラフト５,３５０×６００,60,460,25,1600,370,220,,,,,
TUK29,ナイロンポリTLタイプ２２－５０,LD,0.03,250,,570,1000,,クラフト４,２７０×６７０,60,460,25,1600,450,220,,,,,
UJH71,PE2１５０×１８０紐付き,LD,0.02,150,,180,12000,66,,１７０×２８０,83,630,25,1200,220,224,,,,,
WY506,LDガゼット,LD,0.025,292,177,520,3000,48,,２００×６００,48,380,20,1500,400,233,,,,,
SDE37,フレッシュマット,LD,0.023,360,260,450,1000,,クラフト３,２８０×５５０,60,464,20,1500,400,233,,,,,
UTY70,OPPZタイプ(チャックタイプ)No６,LD,0.03,485,,300,1000,,クラフト３,３２０×５５０,55,424,20,1700,250,234,,,,,
UTY69,OPPZタイプ(チャックタイプ)No５,LD,0.03,425,,260,1000,,クラフト３,２８０×５００,55,424,20,1700,250,234,,,,,
SDE42,フレッシュマット３００×５００,LD,0.023,410,310,650,500,149,,３４０×７５０,47,360,18,1200,500,222,,,,,
TLL39,ニューポリ０２５－１８,LD,0.023,400,,590,1000,アーム７,,３２０×５００,40,310,16,1000,500,198,,,,,
UTY36,ナイロンポリZタイプNO8,LD,0.03,600,,345,1000,,クラフト７,３６０×７００,47,360,20,1700,270,224,,,,,
PHQP9,凹キューブ無地外装,LD,0.023,260,,460,1000,,クラフト３,２７０帯,60,460,22,1500,400,217,,,,,
ULQ26,凹キューブ５０No１９,LD,0.023,305,,480,1000,,クラフト３,３２０×５８０,60,460,22,1500,400,217,,,,,
TRY03,HD袋本体アテクト用,HD,0.04,275,,350,2000,64,,３００×４５０,62,470,20,1800,280,273,,,,,
TOP96,滅菌袋C,HD,0.05,175,,310,2000,44,,２００×４００,61,460,20,1800,250,284,,,,,
UTY32,ナイロンポリZタイプNo6,LD,0.03,420,,265,1000,,クラフト３,２８０×５００,62,470,20,1700,250,230,,,,,
UTY６７,OPPZタイプNo3,LD,0.03,345,,200,1000,,クラフト２,２２０×４５０,62,470,20,1700,250,230,,,,,
PDGC1,ニューポリブルー０３－１０,LD,0.023,200,,330,1000,,クラフト１,２２０×４５０,62,470,20,1800,350,211,,,,,
WDO45,フクロン特１号外装,LD,0.023,250,,370,1000,,クラフト２,２７０×４５０,62,470,22,1400,430,191,,,,,
